fecha;mes;festivo;npasajeros;intensidad_evento;inten_lluvia;ocupacion_trafico;semana_mes;day_of_week
2015-04-15;4;0;3786;0;17.8;90.5606060606;1;2
2015-04-16;4;0;3825;0;0.0;82.2136752137;1;3
2015-04-17;4;0;3590;0;0.0;89.4504504505;1;4
2015-04-18;4;0;2444;0;0.0;76.2653061224;1;5
2015-04-19;4;0;1923;0;0.0;62.8412698413;1;6
2015-04-20;4;0;3817;0;0.0;68.6620689655;1;0
2015-04-21;4;0;3971;0;0.0;86.0235294118;1;1
2015-04-22;4;0;4115;0;0.0;85.8846153846;2;2
2015-04-23;4;0;3774;0;0.0;82.8;2;3
2015-04-24;4;0;3911;0;0.0;94.1960784314;2;4
2015-04-25;4;0;2400;0;0.1;137.197183099;2;5
2015-04-26;4;0;1249;0;9.1;58.2916666667;2;6
2015-04-27;4;0;3804;0;0.0;77.12;2;0
2015-04-28;4;0;4068;0;0.0;84.0070422535;2;1
2015-04-29;4;0;4089;0;0.0;96.8582089552;2;2
2015-04-30;4;0;3863;0;0.0;80.8014184397;2;3
2015-05-01;5;1;1893;0;0.0;54.9076923077;0;4
2015-05-02;5;1;1999;0;0.0;52.4482758621;0;5
2015-05-03;5;0;1680;0;0.0;59.9090909091;0;6
2015-05-04;5;0;4010;0;0.0;72.6394557823;0;0
2015-05-05;5;0;4144;0;0.0;90.196969697;0;1
2015-05-06;5;0;4148;0;0.0;90.8157894737;0;2
2015-05-07;5;0;4271;0;0.0;96.1796875;0;3
2015-05-08;5;0;3679;0;0.0;97.2264150943;1;4
2015-05-09;5;0;2230;0;0.0;73.8467741935;1;5
2015-05-10;5;0;1874;0;0.0;73.0307692308;1;6
2015-05-11;5;0;3724;0;0.0;80.3020134228;1;0
2015-05-12;5;0;3890;0;0.0;128.528089888;1;1
2015-05-13;5;0;3964;0;0.0;109.520325203;1;2
2015-05-14;5;0;3851;0;0.0;101.13740458;1;3
2015-05-15;5;1;1741;0;0.0;82.4642857143;1;4
2015-05-16;5;0;2019;0;0.0;77.8333333333;1;5
2015-05-17;5;0;1884;0;0.0;75.5735294118;1;6
2015-05-18;5;0;3515;0;0.0;103.977272727;1;0
2015-05-19;5;0;3952;0;0.0;95.7124183007;1;1
2015-05-20;5;0;4146;0;0.0;89.9752066116;1;2
2015-05-21;5;0;3968;0;0.0;110.963768116;1;3
2015-05-22;5;0;3723;0;0.0;109.882352941;2;4
2015-05-23;5;0;2368;0;0.0;88.7757009346;2;5
2015-05-24;5;0;1840;0;0.0;101.0625;2;6
2015-05-25;5;0;3880;0;0.0;82.2715231788;2;0
2015-05-26;5;0;3284;0;0.0;82.5373134328;2;1
2015-05-27;5;0;3888;0;0.0;112.238938053;2;2
2015-05-28;5;0;3981;0;0.0;81.5694444444;2;3
2015-05-29;5;0;4098;0;0.0;129.783950617;2;4
2015-05-30;5;0;2479;0;0.0;80.9078947368;2;5
2015-05-31;5;0;1583;0;0.0;69.3921568627;2;6
2015-06-01;6;0;3837;0;0.0;74.5126582278;0;0
2015-06-02;6;0;4044;0;0.0;102.028571429;0;1
2015-06-03;6;0;4152;0;0.0;181.117647059;0;2
2015-06-04;6;1;1918;0;0.0;60.1694915254;0;3
2015-06-05;6;0;3281;0;0.0;85.6195652174;0;4
2015-06-06;6;0;2016;0;0.0;61.2786885246;0;5
2015-06-07;6;0;1835;0;0.0;76.8305084746;0;6
2015-06-08;6;0;3714;0;0.0;119.75;1;0
2015-06-09;6;0;3757;0;0.2;87.4326923077;1;1
2015-06-10;6;0;3846;0;1.9;77.0575539568;1;2
2015-06-11;6;0;3636;0;0.7;89.1919191919;1;3
2015-06-12;6;0;3706;0;0.0;139.123809524;1;4
2015-06-13;6;0;2081;0;0.0;0.0;1;5
2015-06-14;6;0;1943;0;0.0;0.0;1;6
2015-06-15;6;0;3654;0;1.1;0.0;1;0
2015-06-16;6;0;4056;0;0.0;0.0;1;1
2015-06-17;6;0;4059;0;0.0;89.0733944954;1;2
2015-06-18;6;0;3837;0;0.0;95.4144736842;1;3
2015-06-19;6;0;3483;0;0.0;115.010638298;1;4
2015-06-20;6;0;2119;0;0.0;77.4193548387;1;5
2015-06-21;6;0;1749;0;0.0;64.5409836066;1;6
2015-06-22;6;0;3411;0;0.0;61.2480620155;2;0
2015-06-23;6;0;3571;0;11.1;102.558558559;2;1
2015-06-24;6;0;3768;0;0.0;105.631067961;2;2
2015-06-25;6;0;3734;0;0.0;97.9754098361;2;3
2015-06-26;6;0;3382;0;0.0;128.795081967;2;4
2015-06-27;6;0;1833;0;0.0;63.69;2;5
2015-06-28;6;0;1091;0;0.0;51.1052631579;2;6
2015-06-29;6;0;3437;0;0.0;118.113821138;2;0
2015-06-30;6;0;3287;0;0.0;108.391666667;2;1
2015-07-01;7;0;3432;0;0.0;0.0;0;2
2015-07-02;7;0;3304;0;0.0;0.0;0;3
2015-07-03;7;0;3041;0;0.0;0.0;0;4
2015-07-04;7;0;1414;0;0.0;0.0;0;5
2015-07-05;7;0;1258;0;0.0;0.0;0;6
2015-07-06;7;0;3161;0;0.0;0.0;0;0
2015-07-07;7;0;2589;0;0.0;0.0;0;1
2015-07-08;7;0;2904;0;0.0;88.875;1;2
2015-07-09;7;0;3038;0;0.0;100.051724138;1;3
2015-07-10;7;0;2706;0;0.0;69.5;1;4
2015-07-11;7;0;1542;0;0.0;0.0;1;5
2015-07-12;7;0;1239;0;0.0;45.8235294118;1;6
2015-07-13;7;0;2750;0;0.0;106.81372549;1;0
2015-07-14;7;0;2551;0;0.0;110.617647059;1;1
2015-07-15;7;0;2689;0;0.0;114.714285714;1;2
2015-07-16;7;0;2701;0;0.0;114.930232558;1;3
2015-07-17;7;0;2344;0;0.0;110.571428571;1;4
2015-07-18;7;0;1563;0;0.0;93.875;1;5
2015-07-19;7;0;1241;0;0.0;67.7857142857;1;6
2015-07-20;7;0;2422;0;0.0;85.0337078652;1;0
2015-07-21;7;0;2258;0;0.0;89.3823529412;1;1
2015-07-22;7;0;2570;0;4.9;113.980582524;2;2
2015-07-23;7;0;2505;0;0.0;105.878378378;2;3
2015-07-24;7;0;2292;0;0.0;99.6024096386;2;4
